TOI|TIC|GAIA|exofopcomment|Theia|Name|ID|Age(Myr)|N(stars)|lb_comment
1990.01|457939414|5254512781523942912|Crowded field|92|IC_2602|(92)|35|1342|"KC19's IC2602 structure seems clearly wrong because of one ""merged"" group at RA/dec 130-55. But this star seems like it could be in the outskirts of the main known cluster."
1981.01|378613125|5252117594185420928|Need SG1 to check TIC 378613125|149|BH_34|(149)|57|726|Weird 3-group structure. KC19 membership and group existence not super convincing. Maybe member.
1937.01|268301217|5489726768531119616|V-shaped; check neighbors; CTOI from Luke Bouma|613|NGC_2516|(613)|251|3003|We have a good amount of followup on this one, and I think it’s a real HJ (5 or 6 transits + PFS RVs showing the orbit at ~4-5 sigma, plus a linear trend). This one is how I learned that the “fuzz” around NGC2516 is real. I don’t think its actually a member, though. Long story. The fuzz is real because it has a narrow Prot vs Teff sequence, coeval with Pleiades. Also, the isochronal sequence is much more clustered than randomly chosen field stars. However TOI 1937 is one of a few outliers above the narrow Prot vs Teff sequence (Prot of ~7days, for Teff 5700 K). Prot should be like 4 days. Also, the star does not lithium, when it really should.
1924.01|371443216|5245968236116294016||1091|Theia|1091|848|148|xmatch issue? I dont get this as being in Theia 1091. I do get it as an A star.
1918.01|308425348|5339389268061191040||720|NGC_3532|(720)|353|2701|CDIPS vetting report shows its probably off-target. Not sure why the MIT team boosted this to TOI status, when I told them this. The group is real, and this star is definitely a member though
1888.01|459997997|5254794943702272640|Poor detrending; some depth-aperture correlation; CTOI from Luke Bouma|1141|Theia|1141|869|169|NEB from SG1 FU. Group probably does not exist. (Not sure why was boosted to be TOI--maybe planet is real anyway)
1882.01|396368313|5790098845432414464|Some depth-aperture correlation; crowded field; CTOI from Luke Bouma|264|Theia|264|86|84|Cand HJ; hot star; Theia 264 (90 Myr claimed; KC19; cluster existence questionable). 20200219 Phil Evans 1 on-target and VPC in i-band. Boosted to TOI postCDIPS.
1881.01|59859387|5510676828723793920|V-shaped; some odd-even; crowded field; CTOI from Luke Bouma|1011|Alessi_3|(1011)|637|269|Group membership is good from kinematics. We have a decent amount of FU on this one. Needs a blend analysis, and potentially more PFS observations.
1660.01|311121985|214093365109009920||1532|Theia|1532|2597|359|KC19 Group high HRD scatter--group probably not real
1615.01|317507345|2281733502355390208|ExoFOP FP; Retired as SB1	|226|Theia|226|98|49|SB1
1535.01|420288086|427614644875238528|Could be twice the period|747|NGC_225|(747)|374|322|KC19 Too few members to reliably assess membership. A star.
1518.01|427761355|2210596444367488384||685|Theia|685|355|663|my code failed to make a plot for this one
1497.01|371673488|2014335027560174976|Variable star; slight depth-aperture correlation|57|ASCC_127|(57)|21|1982|Group real. KC19 membership seems good. A star.
1479.01|421308357|2142856422034574592|V-shaped. Highly likely EB. Rp>40Re|520|UBC_1|(520)|246|397|KC19 Group seems real. This evolved star seems to be in the background (i.e. not a member).
1395.01|468472950|1965538667157977472||1278|Theia|1278|1311|59|KC19 HR diagram high scatter-- group probably not real
1387.01|343442463|2003624341205485056||136|Theia|136|50|169|KC19 Cluster might exist. HR diagram decently coeval.
1386.01|343019899|2005028761147595648|single transit|1275|Theia|1275|1502|207|my code failed to make a plot for this one
1376.01|190743990|1974178629540271744||822|Theia|822|404|699|KC19 HR diagram high scatter-- group probably not real
