element,sp_num,obs_wl_air(A),unc_obs_wl,ritz_wl_air(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Sr,3,"=""9000.000""","=""0.030""","=""9000.001""","=""0.020""","=""6""","=""""",,"=""33.346910""","=""34.724134""","=""4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""","=""4p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""",,"=""""","=""L1771""",
Ag,2,"=""9001.362""","=""0.018""","=""9001.360""","=""0.011""","=""2900""","=""2.9e+07""",C,"=""14.99107881""","=""16.3680948""","=""4d9.(2D<5/2>).6s""","=""2[5/2]""","=""2""","=""4d9.(2D<5/2>).6p""","=""2[7/2]*""","=""3""",,"=""T9142""","=""L17886c114""",
Cu,2,"=""9001.419""","=""0.008""","=""9001.428""","=""0.005""","=""25""","=""""",,"=""17.5727981""","=""18.9498038""","=""3d9.(2D<3/2>).6p""","=""2[3/2]*""","=""1""","=""3d9.(2D<3/2>).8s""","=""2[3/2]""","=""2""",,"=""""","=""L869c171""",
Ar,2,"=""9001.77""","=""0.02""","=""9001.7615""","=""0.0006""","=""0""","=""""",,"=""22.83687165""","=""24.21382629""","=""3s2.3p4.(3P).4d""","=""4D""","=""1/2""","=""3s2.3p4.(3P<2>).4f""","=""2[1]*""","=""3/2""",,"=""""","=""L14821""",
Se,1,"=""9001.97""","=""0.10""","=""""","=""""","=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2647""",
V,1,"=""9003.08""","=""0.06""","=""9003.0894""","=""0.0014""","=""8300""","=""""",,"=""1.86948173""","=""3.24623326""","=""3d4.(3P2).4s""","=""b 4P""","=""1/2""","=""3d4.(5D).4p""","=""y 4D*""","=""1/2""",,"=""""","=""L14162""",
Pt,1,"=""9004.06""","=""0.03""","=""9004.034""","=""0.003""","=""470h""","=""""",,"=""6.04786551""","=""7.4244726""","=""5d8.6s.(4F).6p""","=""a 3D*""","=""3""","=""5d9.6d""","=""3F""","=""4""",,"=""""","=""L17515c164""",
Rb,2,"=""9004.338""","=""0.010""","=""""","=""""","=""5u""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L2590""",
Te,1,"=""9004.368""","=""0.004""","=""9004.369""","=""0.006""","=""1400""","=""""",,"=""5.4866727""","=""6.8632286""","=""5p3.(4S*).6s""","=""5S*""","=""2""","=""5p3.(4S*).6p""","=""3P""","=""1""",,"=""""","=""L3682""",
Hf,1,"=""9004.740""","=""0.015""","=""9004.7395""","=""0.0024""","=""1900""","=""""",,"=""1.7472218""","=""3.12372100""","=""5d3.(b 4F).6s""","=""a 5F""","=""1""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""1""",,"=""""","=""L16323""",
Np,1,"=""9004.75""","=""0.10""","=""""","=""""","=""1000s""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3793""",
W,1,"=""9005.61""","=""0.10""","=""9005.579""","=""0.073""","=""1""","=""""",,"=""4.571838""","=""5.948209""","=""""","=""*""","=""3""","=""5d4.6s.(6D).7s""","=""7D""","=""4""",,"=""""","=""L153""",
Fr,1,"=""9005.72""","=""0.05""","=""9005.73""","=""0.05""","=""""","=""7.31e+04""",,"=""2.447446""","=""3.823794""","=""8s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""1/2""",,"=""T6898""","=""L12264""",
Cu,2,"=""9005.757""","=""0.008""","=""9005.754""","=""0.004""","=""4300""","=""2.5e+06""",D+,"=""16.9955295""","=""18.37187365""","=""3d8.(3F).4s.4p.(1P*)""","=""3G*""","=""3""","=""3d9.(2D<3/2>).5g""","=""2[9/2]""","=""4""",,"=""T9697""","=""L869c171""",
Kr,2,"=""9006.15""","=""0.10""","=""9006.14+""","=""0.08""","=""10""","=""""",,"=""16.228719""","=""17.6050048""","=""4s2.4p4.(3P).4d""","=""4P""","=""1/2""","=""4s2.4p4.(3P).5p""","=""2D*""","=""3/2""",,"=""""","=""L7386""",
F,1,"=""9006.19""","=""0.03""","=""9006.18+""","=""0.11""","=""500""","=""2.85e+06""",C,"=""14.504588""","=""15.880867""","=""2s2.2p4.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p4.(3P).3d""","=""4D""","=""5/2""",,"=""T7043""","=""L7481""",
Np,1,"=""9006.31""","=""0.10""","=""""","=""""","=""1000l""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3793""",
Fe,1,"=""9006.763""","=""0.016""","=""9006.7589""","=""0.0018""","=""155bl*""","=""""",,"=""5.34836675""","=""6.72455738""","=""3d6.(3H).4s.4p.(3P*)""","=""y 5G*""","=""3""","=""3d7.(4F).4d""","=""e 5H""","=""4""",,"=""""","=""L11631""",
Fe,1,"=""9006.763""","=""0.016""","=""9006.7670""","=""0.0011""","=""155bl*""","=""""",,"=""4.98804995""","=""6.36423934""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5D*""","=""2""","=""3d6.(5D).4s (6D).4d""","=""e 7F""","=""2""",,"=""""","=""L11631""",
W,1,"=""9007.55""","=""0.10""","=""9007.656""","=""0.073""","=""1""","=""""",,"=""4.127657""","=""5.503711""","=""5d5.(2I).6s""","=""1I""","=""6""","=""""","=""*""","=""6""",,"=""""","=""L153""",
Ar,2,"=""9007.90""","=""0.02""","=""9007.8745""","=""0.0003""","=""0.5""","=""""",,"=""21.42648951""","=""22.802509716""","=""3s2.3p4.(1D).4p""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).5s""","=""2P""","=""1/2""",,"=""""","=""L14821""",
Ti,2,"=""9008.078""","=""0.003""","=""9008.074""","=""0.003""","=""24""","=""""",,"=""8.92195655""","=""10.2979463""","=""3d2.(3F).5p""","=""4F*""","=""7/2""","=""3d2.(3F).6s""","=""4F""","=""7/2""",,"=""""","=""u37""",
Fe,1,"=""9008.4115""","=""0.0024""","=""9008.4121""","=""0.0011""","=""112""","=""""",,"=""5.06740926""","=""6.44334733""","=""3d8""","=""3P""","=""2""","=""3d7.(2P).4p""","=""u 3D*""","=""3""",,"=""""","=""L11631""",
Ar,2,"=""9008.4569""","=""0.0002""","=""9008.45652""","=""0.00025""","=""87""","=""""",,"=""23.620386781""","=""24.996318074""","=""3s2.3p4.(3P).5p""","=""2D*""","=""5/2""","=""3s2.3p4.(3P).5d""","=""2F""","=""7/2""",,"=""""","=""L11520""",
Co,2,"=""9009.382""","=""0.003""","=""9009.3806""","=""0.0024""","=""29""","=""1.8e+07""",C+,"=""10.48743503""","=""11.8632252""","=""3d7.(4F).5s""","=""e 5F""","=""4""","=""3d7.(4F).5p""","=""5D*""","=""3""",,"=""T6999""","=""L9429c118""",
Cr,2,"=""9009.460""","=""0.004""","=""9009.463""","=""0.003""","=""3""","=""""",,"=""11.6548237""","=""13.03060135""","=""3d4.(5D).5p""","=""6P*""","=""3/2""","=""3d4.(5D).6s""","=""6D""","=""1/2""",,"=""""","=""L18847""",
W,1,"=""9009.73""","=""0.10""","=""9009.735""","=""0.073""","=""1""","=""""",,"=""2.194667""","=""3.570403""","=""5d4.6s2""","=""3F2""","=""3""","=""5d4.6s.(6D).6p""","=""7D*""","=""4""",,"=""""","=""L153""",
Cr,1,"=""9009.8337""","=""0.0008""","=""9009.8345""","=""0.0004""","=""3600""","=""""",,"=""3.32122225""","=""4.69694311""","=""3d5.(6S).4p""","=""z 5P*""","=""3""","=""3d5.(6S).5s""","=""e 5S""","=""2""",,"=""""","=""L14866""",
Th,1,"=""9009.8827""","=""0.0005""","=""9009.88261""","=""0.00009""","=""440""","=""""",,"=""2.151700954""","=""3.527414465""","=""5f.6d.7s2""","=""3D*""","=""1""","=""""","=""""","=""1""",,"=""""","=""L14361""",
Fe,2,"=""9010.038""","=""0.002""","=""9010.0270""","=""0.0008""","=""6bl(Fe II)*""","=""""",,"=""12.7563835""","=""14.1320750""","=""3d6.(5D<4>).4f""","=""2[4]*""","=""7/2""","=""3d6.(5D<1>).5g""","=""2[3]""","=""7/2""",,"=""""","=""L18349c148""",
Fe,2,"=""9010.038""","=""0.002""","=""9010.0400""","=""0.0008""","=""6bl(Fe II)*""","=""1.6e+04""",D,"=""12.3455088""","=""13.7211983""","=""3d6.(3F2).5s""","=""f 4F""","=""9/2""","=""3d6.(3H).5p""","=""2H*""","=""11/2""",,"=""T6892c83""","=""L18349c148""",
W,1,"=""9010.34""","=""0.10""","=""9010.368""","=""0.073""","=""1""","=""""",,"=""4.743561""","=""6.119200""","=""""","=""*""","=""4""","=""5d4.6s.(6D).7s""","=""7D""","=""5""",,"=""""","=""L153""",
Fe,1,"=""9010.5940""","=""0.0024""","=""9010.5922""","=""0.0011""","=""650""","=""1.83e+04""",C+,"=""2.60850194""","=""3.98410712""","=""3d6.4s2""","=""b 3F2""","=""2""","=""3d6.(5D).4s.4p.(3P*)""","=""z 3F*""","=""2""",,"=""T5720""","=""L11631""",
Ne,2,"=""9010.993""","=""0.020""","=""9011.005""","=""0.004""","=""100""","=""""",,"=""38.0243755""","=""39.3999177""","=""2s2.2p4.(1D).3d""","=""2F""","=""5/2""","=""2s2.2p4.(1D).4p""","=""2D*""","=""3/2""",,"=""""","=""L1406""",
Th,1,"=""9011.5149""","=""0.0017""","=""9011.51508""","=""0.00008""","=""83""","=""""",,"=""1.622774763""","=""2.998239060""","=""6d3.(2G).7s""","=""3G""","=""3""","=""""","=""*""","=""2""",,"=""""","=""L5951""",
Ne,2,"=""9011.624""","=""0.020""","=""9011.611""","=""0.003""","=""120""","=""""",,"=""38.0244230""","=""39.3998727""","=""2s2.2p4.(1D).3d""","=""2F""","=""7/2""","=""2s2.2p4.(1D).4p""","=""2D*""","=""5/2""",,"=""""","=""L1406""",
Fe,1,"=""9012.0740""","=""0.0024""","=""9012.0754""","=""0.0011""","=""1580""","=""4.46e+06""",C,"=""4.99127081""","=""6.36664959""","=""3d6.(5D).4s.4p.(1P*)""","=""x 5F*""","=""5""","=""3d6.(5D).4s (4D).5s""","=""g 5D""","=""4""",,"=""T5720""","=""L11631""",
