time,mnvel,errvel,Name,source,tel
2458861.87965,9247,62,TIC360630575,/Users/luke/Dropbox/proj/cdips_followup/results/spec_analysis/CHIRON/Zhou/20210521_summary.txt,CHIRON
2458872.85653,9128,142,TIC360630575,/Users/luke/Dropbox/proj/cdips_followup/results/spec_analysis/CHIRON/Zhou/20210521_summary.txt,CHIRON
2458893.8165,9122,50,TIC360630575,/Users/luke/Dropbox/proj/cdips_followup/results/spec_analysis/CHIRON/Zhou/20210521_summary.txt,CHIRON
2459240.8846,9177,52,TIC360630575,/Users/luke/Dropbox/proj/cdips_followup/results/spec_analysis/CHIRON/Zhou/20210521_summary.txt,CHIRON
2459306.70984,9168,30,TIC360630575,/Users/luke/Dropbox/proj/cdips_followup/results/spec_analysis/CHIRON/Zhou/20210521_summary.txt,CHIRON
2459308.72347,9289,64,TIC360630575,/Users/luke/Dropbox/proj/cdips_followup/results/spec_analysis/CHIRON/Zhou/20210521_summary.txt,CHIRON
2459312.67711,9221,40,TIC360630575,/Users/luke/Dropbox/proj/cdips_followup/results/spec_analysis/CHIRON/Zhou/20210521_summary.txt,CHIRON
2459314.74577,9176,42,TIC360630575,/Users/luke/Dropbox/proj/cdips_followup/results/spec_analysis/CHIRON/Zhou/20210521_summary.txt,CHIRON
2459322.76611,9128,58,TIC360630575,/Users/luke/Dropbox/proj/cdips_followup/results/spec_analysis/CHIRON/Zhou/20210521_summary.txt,CHIRON
2459337.63059,9246,83,TIC360630575,/Users/luke/Dropbox/proj/cdips_followup/results/spec_analysis/CHIRON/Zhou/20210521_summary.txt,CHIRON
2459338.61418,9158,115,TIC360630575,/Users/luke/Dropbox/proj/cdips_followup/results/spec_analysis/CHIRON/Zhou/20210521_summary.txt,CHIRON
2459339.69362,9173,53,TIC360630575,/Users/luke/Dropbox/proj/cdips_followup/results/spec_analysis/CHIRON/Zhou/20210521_summary.txt,CHIRON
2459346.5901,9171,74,TIC360630575,/Users/luke/Dropbox/proj/cdips_followup/results/spec_analysis/CHIRON/Zhou/20210521_summary.txt,CHIRON
