date_utc,date_hst,timestr_utc,comment
2023-02-08,2023-02-07,05:06 - 07:50 ( 25%),ideal
2023-02-10,2023-02-09,05:07 - 16:05 (100%),
2023-02-27,2023-02-26,05:14 - 10:35 ( 50%),
2023-02-28,2023-02-27,05:14 - 10:34 ( 50%),
2023-03-01,2023-02-28,05:14 - 15:55 (100%),
2023-03-04,2023-03-03,05:15 - 15:52 (100%),
2023-03-07,2023-03-06,05:16 - 10:33 ( 50%),ideal
2023-03-08,2023-03-07,10:33 - 15:49 ( 50%),
2023-03-13,2023-03-12,10:32 - 15:45 ( 50%),
2023-04-02,2023-04-01,10:26 - 15:28 ( 50%),
2023-04-03,2023-04-02,05:24 - 10:26 ( 50%),ideal
2023-04-10,2023-04-09,10:23 - 15:20 ( 50%),
2023-04-11,2023-04-10,10:24 - 15:20 ( 50%),
2023-04-12,2023-04-11,10:23 - 15:19 ( 50%),
2023-04-13,2023-04-12,12:50 - 15:18 ( 25%),
2023-04-21,2023-04-20,05:30 - 10:21 ( 50%),
