                                   count          mean           std           min           25%           50%           75%           max
group449_oid                      1457.0  7.290000e+02  4.207440e+02  1.000000e+00  3.650000e+02  7.290000e+02  1.093000e+03  1.457000e+03
source_id                         1457.0  5.047013e+18  1.125968e+18  2.920777e+18  5.601882e+18  5.617852e+18  5.710975e+18  5.727848e+18
solution_id                       1457.0  1.635721e+18  0.000000e+00  1.635721e+18  1.635721e+18  1.635721e+18  1.635721e+18  1.635721e+18
source_id_2                       1457.0  5.047013e+18  1.125968e+18  2.920777e+18  5.601882e+18  5.617852e+18  5.710975e+18  5.727848e+18
random_index                      1457.0  8.558327e+08  4.881817e+08  3.294670e+05  4.192243e+08  8.644171e+08  1.279342e+09  1.692141e+09
ref_epoch                         1457.0  2.015500e+03  0.000000e+00  2.015500e+03  2.015500e+03  2.015500e+03  2.015500e+03  2.015500e+03
ra                                1457.0  1.137450e+02  3.494474e+00  1.023797e+02  1.112821e+02  1.138803e+02  1.161793e+02  1.240146e+02
ra_error                          1457.0  4.941506e-02  3.140875e-02  8.982575e-03  2.109507e-02  4.254707e-02  7.226172e-02  1.588187e-01
dec                               1457.0 -2.165963e+01  3.186872e+00 -3.063409e+01 -2.414047e+01 -2.193224e+01 -1.930287e+01 -1.114343e+01
dec_error                         1457.0  6.086160e-02  3.875845e-02  1.129873e-02  2.546873e-02  5.309190e-02  9.027906e-02  1.965741e-01
parallax                          1457.0  2.372296e+00  8.243327e-01  1.003711e+00  1.787203e+00  2.289174e+00  2.806588e+00  5.500993e+00
parallax_error                    1457.0  8.616828e-02  5.523772e-02  1.615344e-02  3.582213e-02  7.411224e-02  1.278583e-01  3.053303e-01
parallax_over_error               1457.0  4.418443e+01  3.657499e+01  1.001082e+01  1.694851e+01  2.939859e+01  6.017004e+01  2.376639e+02
pmra                              1457.0 -2.187152e+00  1.207632e+00 -8.308332e+00 -2.792860e+00 -2.014896e+00 -1.366340e+00  9.821362e-01
pmra_error                        1457.0  1.098399e-01  6.960150e-02  2.169960e-02  4.663507e-02  9.510462e-02  1.626082e-01  3.130642e-01
pmdec                             1457.0  2.548798e-01  2.226856e+00 -1.020038e+01 -9.397449e-01  2.036528e-01  1.835974e+00  6.193989e+00
pmdec_error                       1457.0  1.229585e-01  7.842894e-02  2.343171e-02  5.095783e-02  1.061154e-01  1.833389e-01  3.454737e-01
ra_dec_corr                       1457.0 -6.529379e-02  1.775938e-01 -8.022080e-01 -1.795762e-01 -5.579717e-02  5.498122e-02  7.376105e-01
ra_parallax_corr                  1457.0  2.515574e-02  1.234658e-01 -4.538359e-01 -5.959523e-02  2.017573e-02  1.019545e-01  5.903369e-01
ra_pmra_corr                      1457.0 -2.230221e-01  1.966792e-01 -6.056585e-01 -3.487320e-01 -2.585208e-01 -1.525963e-01  6.414794e-01
ra_pmdec_corr                     1457.0 -4.415886e-03  1.203873e-01 -4.172198e-01 -8.184333e-02 -8.447690e-03  6.760421e-02  5.395654e-01
dec_parallax_corr                 1457.0  1.306678e-01  1.410045e-01 -6.938082e-01  4.534515e-02  1.359266e-01  2.281281e-01  5.887940e-01
dec_pmra_corr                     1457.0  2.372929e-02  1.234486e-01 -4.283366e-01 -5.826181e-02  1.793808e-02  9.698985e-02  5.445136e-01
dec_pmdec_corr                    1457.0 -1.724831e-01  1.642033e-01 -7.040312e-01 -2.825647e-01 -1.923603e-01 -8.594852e-02  4.685242e-01
parallax_pmra_corr                1457.0  2.083098e-01  1.040513e-01 -2.131125e-01  1.430878e-01  2.081937e-01  2.756861e-01  5.699375e-01
parallax_pmdec_corr               1457.0 -1.191819e-01  1.233291e-01 -5.747986e-01 -2.013721e-01 -1.259486e-01 -3.719236e-02  4.133374e-01
pmra_pmdec_corr                   1457.0 -1.321283e-01  1.526199e-01 -8.058154e-01 -2.257710e-01 -1.308559e-01 -3.196409e-02  6.010287e-01
astrometric_n_obs_al              1457.0  3.407234e+02  8.343183e+01  1.110000e+02  2.840000e+02  3.270000e+02  3.840000e+02  6.610000e+02
astrometric_n_obs_ac              1457.0  5.001441e+01  1.250785e+02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  6.610000e+02
astrometric_n_good_obs_al         1457.0  3.371956e+02  8.238258e+01  1.100000e+02  2.820000e+02  3.250000e+02  3.810000e+02  6.410000e+02
astrometric_n_bad_obs_al          1457.0  3.527797e+00  6.061788e+00  0.000000e+00  1.000000e+00  2.000000e+00  3.000000e+00  8.400000e+01
astrometric_gof_al                1457.0  8.980194e+00  1.655883e+01 -1.031769e+01  2.730778e-01  2.944810e+00  1.190885e+01  1.116962e+02
astrometric_chi2_al               1457.0  9.056677e+02  1.503342e+03  1.018407e+02  2.998573e+02  4.166786e+02  7.325867e+02  1.925137e+04
astrometric_excess_noise          1457.0  2.605476e-01  3.149285e-01  0.000000e+00  0.000000e+00  1.250593e-01  4.588865e-01  9.993032e-01
astrometric_excess_noise_sig      1457.0  1.370312e+01  3.540239e+01  0.000000e+00  0.000000e+00  7.784170e-01  6.882777e+00  3.194004e+02
astrometric_params_solved         1457.0  3.100000e+01  0.000000e+00  3.100000e+01  3.100000e+01  3.100000e+01  3.100000e+01  3.100000e+01
astrometric_weight_al             1457.0  4.639764e+01  9.662666e+01  3.248855e-01  1.182859e+00  3.619104e+00  3.246904e+01  4.738661e+02
astrometric_pseudo_colour         1457.0  1.473543e+00  1.301283e-01  1.176041e+00  1.357762e+00  1.481979e+00  1.575961e+00  1.939110e+00
astrometric_pseudo_colour_error   1457.0  1.487608e-02  9.612135e-03  2.747223e-03  6.321597e-03  1.281817e-02  2.167639e-02  5.180820e-02
mean_varpi_factor_al              1457.0 -1.534377e-02  4.667004e-02 -1.976428e-01 -4.575597e-02 -1.498423e-02  1.547499e-02  1.295401e-01
astrometric_matched_observations  1457.0  3.878312e+01  9.476238e+00  1.300000e+01  3.200000e+01  3.700000e+01  4.400000e+01  7.500000e+01
visibility_periods_used           1457.0  1.445573e+01  1.370157e+00  9.000000e+00  1.400000e+01  1.400000e+01  1.500000e+01  1.800000e+01
astrometric_sigma5d_max           1457.0  1.179551e-01  7.321369e-02  2.948196e-02  4.784216e-02  1.050513e-01  1.735922e-01  2.988529e-01
frame_rotator_object_type         1457.0  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
matched_observations              1457.0  4.069938e+01  9.600049e+00  1.300000e+01  3.400000e+01  3.900000e+01  4.600000e+01  7.800000e+01
phot_g_n_obs                      1457.0  3.468449e+02  8.294794e+01  1.100000e+02  2.900000e+02  3.340000e+02  3.910000e+02  6.440000e+02
phot_g_mean_flux                  1457.0  2.494749e+05  2.402071e+06  5.306188e+02  2.172242e+03  7.194212e+03  4.609640e+04  7.909771e+07
phot_g_mean_flux_error            1457.0  1.068326e+02  1.320261e+03  8.714187e-01  2.104223e+00  4.682101e+00  1.646605e+01  4.771506e+04
phot_g_mean_flux_over_error       1457.0  1.969852e+03  1.557360e+03  1.112880e+02  8.684797e+02  1.440280e+03  2.584718e+03  1.030719e+04
phot_g_mean_mag                   1457.0  1.553910e+01  2.275949e+00  5.942956e+00  1.402920e+01  1.604591e+01  1.734610e+01  1.887641e+01
phot_bp_n_obs                     1457.0  3.593823e+01  1.040922e+01  0.000000e+00  3.000000e+01  3.500000e+01  4.200000e+01  7.600000e+01
phot_bp_mean_flux                 1446.0  1.609323e+05  1.766143e+06  8.854609e+01  6.235503e+02  2.820661e+03  2.143780e+04  5.947243e+07
phot_bp_mean_flux_error           1446.0  2.007225e+02  2.124665e+03  3.529647e+00  7.757158e+00  1.233480e+01  3.797674e+01  7.020118e+04
phot_bp_mean_flux_over_error      1446.0  3.908511e+02  4.083535e+02  7.572003e+00  7.497928e+01  2.233868e+02  6.029227e+02  2.417081e+03
phot_bp_mean_mag                  1446.0  1.626993e+01  2.616505e+00  5.915599e+00  1.452344e+01  1.672551e+01  1.836421e+01  2.048347e+01
phot_rp_n_obs                     1457.0  3.569252e+01  1.027387e+01  0.000000e+00  2.900000e+01  3.500000e+01  4.100000e+01  7.000000e+01
phot_rp_mean_flux                 1446.0  1.351459e+05  1.052666e+06  3.204378e+02  2.389298e+03  6.708071e+03  3.450897e+04  3.140607e+07
phot_rp_mean_flux_error           1446.0  1.859291e+02  1.657488e+03  3.924078e+00  8.775784e+00  1.482012e+01  4.429860e+01  5.115037e+04
phot_rp_mean_flux_over_error      1446.0  6.244552e+02  5.118217e+02  6.063387e+00  2.467338e+02  4.443272e+02  8.602066e+02  2.744539e+03
phot_rp_mean_mag                  1446.0  1.470780e+01  2.027900e+00  6.019386e+00  1.341709e+01  1.519543e+01  1.631625e+01  1.849756e+01
phot_bp_rp_excess_factor          1446.0  1.339685e+00  1.583719e-01  1.145020e+00  1.229463e+00  1.306615e+00  1.422133e+00  3.815737e+00
phot_proc_mode                    1457.0  9.540151e-02  3.053317e-01  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.000000e+00
bp_rp                             1446.0  1.562135e+00  7.303000e-01 -1.513538e-01  9.927473e-01  1.415826e+00  2.175167e+00  3.686974e+00
bp_g                              1446.0  7.447627e-01  4.461105e-01 -9.147596e-01  3.862877e-01  6.330662e-01  1.089937e+00  2.259825e+00
g_rp                              1446.0  8.173729e-01  3.056910e-01 -9.706068e-02  5.890667e-01  8.149862e-01  1.087895e+00  1.818788e+00
radial_velocity                    112.0  2.354743e+01  1.821419e+01 -1.369665e+01  6.403623e+00  2.860486e+01  3.540785e+01  7.085163e+01
